SCHOOL_YEAR,DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,SUB_POPULATION,GRADE,FSA_SKILL_CODE,NUMBER_EXPECTED_WRITERS,NUMBER_WRITERS,NUMBER_UNKNOWN,NUMBER_EMERGING,NUMBER_ONTRACK,NUMBER_EXTENDING,SCORE
2007,District Level,BC Public School,58,Nicola-Similkameen,Indigenous,4,Numeracy,72,66,10,35,10,10,420.8182
2007,District Level,BC Public School,58,Nicola-Similkameen,Non Indigenous,4,Numeracy,97,91,10,10,55,10,447.6593
2007,District Level,BC Public School,58,Nicola-Similkameen,Diverse Abilities,4,Numeracy,28,22,5,14,5,5,423.3636
2007,District Level,BC Public School,58,Nicola-Similkameen,Non Diverse Abilities,4,Numeracy,141,135,10,54,10,10,438.4963
2007,District Level,BC Public School,59,Peace River South,All Students,4,Numeracy,305,279,10,10,164,10,437.9498
2007,District Level,BC Public School,59,Peace River South,Indigenous,4,Numeracy,106,99,10,53,10,10,406.1616
2007,District Level,BC Public School,59,Peace River South,Non Indigenous,4,Numeracy,199,180,10,10,118,10,455.4333
2007,District Level,BC Public School,59,Peace River South,Diverse Abilities,4,Numeracy,26,13,5,5,5,5,392.4615
2007,District Level,BC Public School,59,Peace River South,Non Diverse Abilities,4,Numeracy,279,266,10,10,10,10,440.1729
2007,District Level,BC Public School,60,Peace River North,All Students,4,Numeracy,419,379,35,73,256,50,496.2269
2007,District Level,BC Public School,60,Peace River North,Indigenous,4,Numeracy,95,80,10,10,61,10,490.575
2007,District Level,BC Public School,60,Peace River North,Non Indigenous,4,Numeracy,324,299,10,10,195,10,497.7391
2007,District Level,BC Public School,60,Peace River North,Diverse Abilities,4,Numeracy,49,34,14,5,21,5,481.2353
2007,District Level,BC Public School,60,Peace River North,Non Diverse Abilities,4,Numeracy,370,345,21,10,235,10,497.7043
2007,District Level,BC Public School,61,Greater Victoria,All Students,4,Numeracy,1342,1253,82,266,840,147,491.85
2007,District Level,BC Public School,61,Greater Victoria,Indigenous,4,Numeracy,126,113,10,10,63,10,444.9912
2007,District Level,BC Public School,61,Greater Victoria,Non Indigenous,4,Numeracy,1216,1140,10,10,777,10,496.4947
2007,District Level,BC Public School,61,Greater Victoria,Diverse Abilities,4,Numeracy,150,99,51,25,58,16,488.5758
2007,District Level,BC Public School,61,Greater Victoria,Non Diverse Abilities,4,Numeracy,1192,1154,31,241,782,131,492.1308
2007,District Level,BC Public School,62,Sooke,All Students,4,Numeracy,596,544,49,121,382,41,481.4301
2007,District Level,BC Public School,62,Sooke,Indigenous,4,Numeracy,97,80,10,10,47,10,462.2125
